ID,Admission_year,Gender,Age,HSC_passing_year,Program,Current_semester,Meritorious_scholarship,University_transportation,Study_hour,Study_times,Preferable_learning_mode,Smartphone,Personal_computer,Social_media,English_proficiency,Average_class_attendance,Probation,Suspension,Teacher_consultancy,Skills,Skill_development_hour,Interested_area,Relationship_status,Cocurriculum_activities,Living_with,Health_issues,Previous_SGPA,Physical_disabilities,Current_CGPA,Credit_completed,Monthly_family_income
10018,2021,Female,21,2020,BCSE,4,Yes,No,5,1,Offline,Yes,Yes,2,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,50000
10019,2021,Male,21,2020,BCSE,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,2,Software,Relationship,No,Family,No,3.10,No,3.50,35,62488
10020,2021,Male,19,2020,BCSE,4,No,Yes,3,2,Online,Yes,Yes,2,Intermediate,70,Yes,No,Yes,Web development,2,Software,Single,No,Family,No,2.68,No,3.15,36,20000
10021,2021,Female,21,2019,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development,1,Web development,Single,Yes,Bachelor,No,3.81,No,3.65,34,30000
10022,2021,Male,21,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,80,Yes,No,No,Networking,2,NETWORKING,Single,No,Bachelor,No,2.68,No,3.15,36,50000
10023,2021,Male,22,2020,BCSE,4,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,20000
10024,2020,Female,21,2019,BCSE,4,No,Yes,6,3,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,36,25000
10025,2021,Male,21,2020,BCSE,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,2,Machine Learning,Single,Yes,Bachelor,Yes,3.89,No,3.81,35,35000
10026,2021,Female,20,2020,BCSE,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,2,Software,Single,No,Family,No,3.79,No,3.82,39,50000
10027,2021,Male,20,2020,BCSE,4,No,No,4,3,Offline,Yes,No,3,Basic,95,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,4000
10028,2021,Male,19,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,Yes,No,Yes,Programming,4,Artificial Intelligence,Single,Yes,Family,Yes,3.55,No,3.48,35,40000
10029,2021,Male,21,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,Yes,3.28,No,3.32,36,8000
10030,2021,Male,25,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,47972
10031,2022,Male,20,2020,BCSE,2,Yes,Yes,3,3,Online,Yes,Yes,4,Intermediate,90,No,No,Yes,Programming,2,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000
10032,2022,Male,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,11,90000
10033,2022,Male,21,2021,BCSE,2,No,No,5,5,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,2.68,No,3.15,11,30000
10034,2021,Male,23,2018,BCSE,4,Yes,No,8,4,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,37000
10035,2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000
10036,2022,Female,20,2020,BCSE,2,Yes,Yes,3,1,Online,Yes,No,1,Intermediate,80,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,50000
10037,2022,Female,21,2019,BCSE,2,Yes,No,2,1,Offline,Yes,Yes,3,Basic,99,No,No,Yes,Web development,2,Artificial Intelligence,Single,No,Bachelor,No,2.68,No,3.15,11,30000
10038,2019,Male,24,2016,BCSE,11,No,No,2,2,Online,Yes,Yes,5,Basic,70,Yes,No,Yes,Programming,4,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,20000
10039,2022,Female,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,80000
10040,2021,Female,22,2019,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,40000
10041,2022,Male,20,2020,BCSE,2,Yes,No,5,5,Offline,Yes,Yes,6,Basic,100,No,No,Yes,Programming,3,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,11,20000
10042,2022,Male,21,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Basic,97,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,10000
10043,2022,Male,21,2020,BCSE,2,Yes,Yes,3,3,Offline,Yes,Yes,1,Basic,98,No,No,Yes,Programming,4,Software,Single,No,Bachelor,No,2.68,No,3.15,11,10000
10044,2022,Male,19,2020,BCSE,2,Yes,Yes,5,3,Online,Yes,Yes,6,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
10045,2022,Male,19,2020,BCSE,2,Yes,Yes,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
10046,2022,Male,19,2020,BCSE,2,Yes,No,4,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,2.68,No,3.15,11,25000
10047,2022,Male,20,2020,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,20000
10048,2022,Male,19,2020,BCSE,2,Yes,Yes,1,1,Online,Yes,Yes,1,Intermediate,90,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,22000
10049,2021,Female,20,2020,BCSE,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,3.78,No,3.88,36,200000
10050,2022,Male,20,2020,BCSE,2,Yes,No,7,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Software,Single,No,Family,Yes,2.68,No,3.15,11,39000
10051,2022,Male,21,2020,BCSE,2,Yes,Yes,2,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Programming,1,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000
10052,2022,Male,21,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,2,Intermediate,88,No,No,No,Programming,2,Software,Single,Yes,Family,No,4.00,No,4.00,11,20000
10053,2022,Male,21,2020,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,30000
10054,2022,Male,20,2020,BCSE,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Software,Single,No,Family,No,3.90,No,3.90,12,60000
10055,2022,Male,20,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,11,40000
10056,2022,Male,22,2020,BCSE,2,No,Yes,1,1,Online,Yes,Yes,7,Basic,80,No,No,Yes,Networking,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,32000
10057,2021,Male,20,2020,BCSE,2,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,2.68,No,3.15,11,30000
10058,2021,Female,20,2020,BCSE,2,Yes,Yes,1,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
10059,2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Online,Yes,Yes,3,Intermediate,85,No,No,Yes,Web development,2,Software,Single,No,Family,No,2.68,No,3.15,11,30000
10060,2021,Female,20,2020,BCSE,2,Yes,Yes,2,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
10061,2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,75,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,35000
10062,2021,Male,21,2020,BCSE,4,Yes,Yes,3,2,Offline,Yes,Yes,4,Intermediate,85,No,No,Yes,Web development,2,Artificial Intelligence,Relationship,No,Bachelor,No,2.68,No,3.15,36,40000
10063,2019,Male,23,2017,BCSE,11,No,Yes,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,126,15000
10064,2020,Male,21,2019,BCSE,8,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,3.84,No,3.80,80,23000
10065,2020,Male,21,2019,BCSE,8,No,Yes,3,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,62488
10066,2018,Male,24,2016,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Bachelor,No,3.31,No,3.52,132,350000
10067,2020,Male,22,2019,BCSE,8,No,No,3,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Other,2,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,88,50000
10068,2022,Female,21,2020,BCSE,2,Yes,No,3,1,Online,Yes,Yes,2,Advance,95,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,40000
10069,2022,Male,20,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,5,Software,Relationship,No,Bachelor,No,2.68,No,3.15,11,35000
10070,2020,Female,21,2019,BCSE,8,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,80,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,88,35000
10071,2022,Male,21,2020,BCSE,2,No,No,8,2,Online,Yes,Yes,1,Basic,100,No,No,Yes,Web development,2,programming,Single,Yes,Bachelor,No,2.68,No,3.15,11,30000
10072,2020,Male,23,2018,BCSE,8,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,2.68,No,3.15,88,40000
10073,2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000
10074,2020,Female,21,2019,BCSE,8,No,Yes,1,1,Online,Yes,Yes,2,Intermediate,95,No,No,No,Software Development,2,Software,Single,No,Family,Yes,2.68,No,3.15,88,40000
10075,2018,Female,24,2017,BCSE,12,No,Yes,2,2,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Networking,1,Machine Learning,Married,Yes,Family,No,2.68,No,3.15,136,30000
10076,2020,Male,22,2019,BCSE,8,No,No,3,1,Online,Yes,Yes,1,Intermediate,100,No,No,No,Programming,8,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,35000
10077,2020,Male,21,2019,BCSE,8,No,Yes,4,1,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,88,25000
10078,2022,Female,20,2020,BCSE,2,Yes,Yes,5,3,Offline,Yes,No,2,Basic,99,No,No,Yes,Programming,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,600000
10079,2022,Female,20,2019,BCSE,2,Yes,Yes,4,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Programming,2,Software,Engaged,No,Family,No,2.68,No,3.15,11,35000
10080,2020,Female,20,2019,BCSE,8,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,2,Software,Married,No,Bachelor,No,3.49,No,3.67,71,40000
10081,2020,Male,21,2019,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Bachelor,No,3.07,No,2.74,85,20000
10082,2019,Male,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,8,Intermediate,85,No,No,Yes,Graphics Designing,1,NETWORKING,Single,No,Family,No,2.68,No,3.15,88,20000
10083,2019,Female,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,NETWORKING,Single,No,Family,No,3.76,No,3.50,83,92000
10084,2020,Male,22,2019,BCSE,8,No,Yes,3,1,Offline,No,Yes,1,Intermediate,98,No,No,No,Web development,2,Software,Single,No,Family,No,2.70,No,2.80,80,35000
10085,2020,Male,22,2019,BCSE,8,No,No,2,1,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Web development,2,NETWORKING,Single,No,Bachelor,No,2.68,No,3.15,88,20000
10086,2020,Male,23,2017,BCSE,8,No,Yes,1,1,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,88,15000
10087,2020,Male,23,2017,BCSE,8,Yes,Yes,2,1,Online,Yes,Yes,1,Intermediate,96,No,No,No,Networking,2,NETWORKING,Single,Yes,Family,No,2.68,No,3.15,88,30000
10088,2022,Male,21,2020,BCSE,2,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,3.65,No,3.15,11,45000
10089,2020,Male,22,2019,BCSE,8,No,Yes,1,1,Offline,Yes,Yes,15,Intermediate,100,No,No,Yes,Web development,1,Hardware,Relationship,No,Family,No,2.68,No,3.15,88,90000
10090,2020,Female,21,2019,BCSE,8,No,No,2,2,Offline,Yes,Yes,2,Basic,80,No,No,No,Web development,1,Machine Learning,Single,No,Family,No,2.68,No,3.15,88,35000
10091,2020,Male,20,2019,BCSE,8,Yes,Yes,2,1,Online,Yes,Yes,3,Basic,95,No,No,No,Web development,3,Software,Single,No,Bachelor,No,2.68,No,3.15,88,20000
10092,2021,Male,21,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,100000
10093,2019,Male,23,2018,BCSE,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,3.84,No,3.10,73,30000
10094,2022,Female,20,2020,BCSE,2,No,No,2,1,Offline,Yes,Yes,6,Intermediate,80,Yes,No,No,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,11,70000
10095,2018,Female,24,2016,BCSE,10,No,Yes,2,1,Online,Yes,Yes,4,Basic,90,Yes,No,No,Web development,4,Software,Single,No,Family,No,2.68,No,3.15,113,40000
10096,2022,Female,21,2020,BCSE,2,Yes,No,2,4,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Engaged,Yes,Bachelor,No,2.68,No,3.15,11,10000
10097,2021,Male,20,2020,BCSE,4,Yes,Yes,2,1,Offline,Yes,Yes,2,Advance,82,No,No,Yes,Programming,4,Software,Relationship,No,Bachelor,No,2.68,No,3.15,36,40000
10098,2021,Male,22,2020,BCSE,4,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,0,Software,Single,No,Family,No,2.68,No,3.15,36,20000
10099,2021,Male,20,2019,BCSE,5,No,No,3,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Web development,8,Machine Learning,Single,Yes,Bachelor,No,2.68,No,3.15,50,22000
10100,2019,Male,23,2017,BCSE,11,No,Yes,3,2,Online,Yes,Yes,1,Intermediate,85,Yes,No,Yes,Web development,2,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,45000
10101,2020,Female,21,2019,BCSE,8,No,Yes,4,1,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,2.68,No,3.15,88,40000
10102,2022,Female,20,2020,BCSE,2,Yes,Yes,2,1,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,2.68,No,3.15,11,50000
10103,2020,Female,22,2019,BCSE,8,Yes,No,3,1,Offline,Yes,Yes,4,Intermediate,90,No,No,Yes,Web development,2,Software,Single,No,Bachelor,No,2.68,No,3.15,88,50000
10104,2018,Male,23,2017,BCSE,13,No,No,2,4,Offline,Yes,Yes,6,Basic,88,Yes,No,Yes,Networking,1,Software,Relationship,No,Bachelor,No,2.68,No,3.15,112,30000
10105,2022,Male,20,2020,BCSE,2,Yes,No,3,4,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Software Development,5,Software,Single,No,Bachelor,No,2.68,No,3.15,11,40000
10106,2021,Male,19,2020,BCSE,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,3.50,No,3.58,35,30000
10107,2021,Male,21,2019,BCSE,4,Yes,Yes,4,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Web development,2,Software,Single,Yes,Family,No,3.38,No,3.82,27,40000
10108,2020,Male,21,2019,BCSE,8,No,No,2,2,Offline,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,1,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,88,30000
10109,2019,Female,22,2017,BCSE,10,No,No,9,3,Online,Yes,Yes,1,Intermediate,88,Yes,No,No,Database,1,Hardware,Single,No,Bachelor,No,2.68,No,3.15,113,62488
10110,2022,Female,19,2020,BCSE,2,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000
10111,2022,Female,22,2022,BCSE,4,Yes,No,1,1,Offline,Yes,Yes,10,Basic,80,Yes,No,No,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,100000
10112,2021,Male,22,2018,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Networking,3,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,36,30000
10113,2019,Female,21,2019,BCSE,9,No,No,2,3,Offline,Yes,Yes,3,Basic,92,Yes,No,Yes,Web development,1,Software,Single,Yes,Bachelor,No,1.89,No,2.69,86,20000
10114,2021,Female,19,2020,BCSE,4,Yes,No,7,3,Offline,Yes,No,3,Advance,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,3.70,No,3.77,35,62488
10115,2022,Male,19,2020,BCSE,2,Yes,No,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,30000
10116,2022,Male,21,2019,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,11,20000
10117,2019,Male,25,2018,BCSE,11,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,70,Yes,No,No,Web development,4,Software,Single,No,Bachelor,Yes,0.00,No,2.53,91,30000
10118,2019,Female,22,2019,BCSE,9,No,Yes,3,3,Online,Yes,No,2,Basic,99,No,No,Yes,Web development,2,Data Science,Single,No,Family,Yes,2.68,No,3.15,100,20000
10119,2018,Male,24,2017,BCSE,13,No,No,2,2,Offline,Yes,Yes,4,Basic,50,Yes,Yes,Yes,Web development,5,Software,Married,Yes,Bachelor,No,2.20,No,2.66,110,60000
10120,2017,Male,22,2017,BCSE,15,Yes,No,1,1,Offline,Yes,Yes,4,Advance,100,Yes,No,Yes,Web development,4,Software,Single,No,Bachelor,Yes,2.60,No,2.60,90,62488
10121,2019,Female,22,2018,BCSE,11,No,Yes,3,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Networking,0,Software,Married,No,Family,Yes,2.70,No,2.91,120,150000
10122,2018,Male,23,2017,BCSE,14,No,No,2,2,Online,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,2,Software,Single,Yes,Family,No,2.87,No,2.99,120,30000
10123,2021,Male,20,2019,BCSE,5,No,No,4,4,Offline,Yes,Yes,1,Intermediate,95,Yes,No,No,Programming,4,Software,Single,No,Bachelor,No,2.68,No,3.15,50,25000
10124,2019,Male,23,2017,BCSE,9,No,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,No,No,Yes,Cyber security,4,NETWORKING,Relationship,Yes,Family,No,2.68,No,3.15,100,200000
10125,2015,Male,26,2012,BCSE,21,No,No,1,1,Offline,Yes,Yes,1,Basic,85,Yes,No,No,Web development,1,Hardware,Single,No,Bachelor,Yes,2.68,Yes,3.15,77,50000
10126,2019,Male,22,2019,BCSE,9,No,No,3,5,Online,Yes,Yes,1,Intermediate,99,No,No,No,Web development,3,Software,Single,No,Bachelor,No,2.68,No,3.15,100,40000
10127,2019,Male,23,2018,BCSE,9,No,Yes,1,1,Offline,Yes,Yes,1,Intermediate,70,No,No,No,Web development,1,Hardware,Relationship,Yes,Family,Yes,2.70,No,2.92,76,15000
10128,2019,Male,21,2018,BCSE,11,No,Yes,2,1,Offline,Yes,Yes,1,Intermediate,73,No,No,Yes,Programming,2,NETWORKING,Single,No,Family,No,2.68,No,3.15,126,75000
10129,2019,Male,22,2018,BCSE,11,No,No,2,2,Online,Yes,Yes,1,Intermediate,100,Yes,Yes,Yes,Programming,2,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,40000
10130,2018,Female,23,2016,BCSE,14,No,Yes,3,2,Offline,Yes,Yes,1,Basic,70,Yes,No,No,Programming,2,Hardware,Single,No,Bachelor,Yes,2.98,Yes,2.96,118,20000
10131,2019,Female,21,2018,BCSE,11,No,No,1,1,Offline,Yes,Yes,2,Advance,75,No,No,Yes,Web development,2,Software,Relationship,No,Family,No,2.68,No,3.15,126,40000
10132,2021,Female,20,2019,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,7,Basic,80,No,No,No,Programming,2,Software,Single,Yes,Bachelor,Yes,2.68,No,3.15,11,62488
10133,2019,Female,21,2019,BCSE,9,No,No,6,3,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,4,Software,Single,No,Bachelor,No,2.68,No,3.15,100,62488
10134,2019,Male,22,2019,BCSE,9,No,No,3,4,Offline,Yes,Yes,2,Intermediate,99,No,No,No,Web development,7,Web Development,Single,No,Bachelor,No,3.52,No,2.90,100,15000
10135,2020,Male,23,2018,BCSE,8,Yes,Yes,4,5,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,3.48,No,3.08,68,20000
10136,2016,Male,25,2014,BCSE,11,Yes,Yes,2,1,Online,Yes,Yes,3,Advance,90,Yes,No,Yes,Web development,3,Software,Single,Yes,Family,No,2.68,No,3.15,126,63000
10137,2019,Female,22,2018,BCSE,11,Yes,Yes,1,2,Online,Yes,Yes,3,Basic,80,No,No,No,Web development,3,NETWORKING,Single,No,Family,No,2.68,No,3.15,126,50000
10138,2020,Male,20,2019,BCSE,6,No,No,2,2,Online,Yes,Yes,5,Basic,90,Yes,No,No,Networking,2,NETWORKING,Single,No,Family,No,2.68,No,3.15,65,40000
